RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,MonthlyIncome_is_missing,NumberOfDependents_is_missing,has_special_value,has_dependent,total_late_payments,has_any_late_payment,income_per_dependent,age_bucket_ordinal,age_bucket_elder,age_bucket_middle,age_bucket_senior,age_bucket_young
0.13362889887063412,44,0,0.3067213673073978,8.757783656334167,8,0,2,0,0.0,0,0,0,0,0,0,6359.0,1,0.0,1.0,0.0,0.0
0.005705903327891185,52,0,8.725020038618554,8.597297435657898,5,0,3,0,0.0,1,0,0,0,0,0,5416.0,2,0.0,0.0,1.0,0.0
0.08462664995372482,58,0,0.07680696723031663,9.433563920090563,14,0,0,0,0.0,0,0,0,0,0,0,12500.0,2,0.0,0.0,1.0,0.0
0.6128511178363951,52,1,0.22949030638728,10.150386692204734,9,0,3,0,0.0,0,0,0,0,1,1,25600.0,2,0.0,0.0,1.0,0.0
0.12062027887253748,64,0,0.3428088066609937,9.546884034617925,24,0,4,0,0.0,0,0,0,0,0,0,14000.0,3,1.0,0.0,0.0,0.0
0.000951836859535887,54,0,0.0,8.597297435657898,3,0,0,0,0.0,1,1,0,0,0,0,5416.0,2,0.0,0.0,1.0,0.0
0.001199257603048753,81,0,0.6931471805599453,8.597297435657898,6,0,0,0,0.0,1,0,0,0,0,0,5416.0,3,1.0,0.0,0.0,0.0
0.5027488736557689,57,0,0.2584510972365845,9.239996256883693,7,0,2,0,0.0,0,0,0,0,0,0,10300.0,2,0.0,0.0,1.0,0.0
0.0012144981984070298,66,0,0.0,8.597297435657898,4,0,0,0,0.0,1,0,0,0,0,0,5416.0,3,1.0,0.0,0.0,0.0
0.12974246507056028,48,0,0.2143722783230569,9.952325334619427,13,0,2,0,4.0,0,0,0,1,0,0,4200.0,2,0.0,0.0,1.0,0.0
0.26168016052173754,44,0,0.22656964434907825,8.909370405197466,17,0,1,0,0.0,0,0,0,0,0,0,7400.0,1,0.0,1.0,0.0,0.0
0.693147130559944,64,0,0.1458014849571906,7.438971592395862,3,0,0,0,0.0,0,0,0,0,0,0,1700.0,3,1.0,0.0,0.0,0.0
0.060352340045235174,63,0,0.33505098140203954,8.671458150427666,9,0,1,0,0.0,0,0,0,0,0,0,5833.0,3,1.0,0.0,0.0,0.0
0.004897579255601492,63,0,0.00133067226283274,6.621405651764134,1,0,0,0,0.0,0,0,0,0,0,0,750.0,3,1.0,0.0,0.0,0.0
0.01744460817653485,35,0,0.34466992145470804,8.063377822367027,12,0,1,0,0.0,0,0,0,0,0,0,3175.0,1,0.0,1.0,0.0,0.0
0.0,49,0,0.0,8.597297435657898,4,0,0,0,0.0,1,0,0,0,0,0,5416.0,2,0.0,0.0,1.0,0.0
0.21518893306121228,35,0,1.530990737604135,6.2166061010848646,9,0,1,0,3.0,0,0,0,1,0,0,125.0,1,0.0,1.0,0.0,0.0
0.693147130559944,29,0,0.41645234277487553,8.258940462988459,4,0,2,0,1.0,0,0,0,1,0,0,1930.5,0,0.0,0.0,0.0,1.0
0.16078846746161654,61,0,0.533009709608003,8.882391706295847,7,0,1,0,0.0,0,0,0,0,0,0,7203.0,3,1.0,0.0,0.0,0.0
0.01156663679796545,41,0,0.5610023171165679,8.566173813637858,12,0,4,0,0.0,0,0,0,0,0,0,5250.0,1,0.0,1.0,0.0,0.0
6.8658910748834385,40,0,0.718771014063649,8.314832179284556,3,0,1,0,0.0,0,0,0,0,0,0,4083.0,1,0.0,1.0,0.0,0.0
0.5352400398096325,30,0,6.54965074223381,8.597297435657898,7,0,0,0,0.0,1,0,0,0,0,0,5416.0,0,0.0,0.0,0.0,1.0
0.04098834900258092,53,0,8.15478757276852,8.597297435657898,8,0,2,0,0.0,1,0,0,0,0,0,5416.0,2,0.0,0.0,1.0,0.0
0.04213987038025779,44,0,0.007782140442054949,7.685243607975833,2,0,0,0,0.0,0,0,0,0,0,0,2175.0,1,0.0,1.0,0.0,0.0
